distancia_cm,Zona,Riesgo
20.0,Nezahualcoyotl,Fuera de peligro
19.9,Nezahualcoyotl,Riesgo Muy Bajo
19.8,Nezahualcoyotl,Riesgo Muy Bajo
19.7,Nezahualcoyotl,Riesgo Muy Bajo
19.6,Nezahualcoyotl,Riesgo Muy Bajo
19.5,Nezahualcoyotl,Riesgo Muy Bajo
19.4,Nezahualcoyotl,Riesgo Muy Bajo
19.3,Nezahualcoyotl,Riesgo Muy Bajo
19.2,Nezahualcoyotl,Riesgo Bajo (Advertencia)
19.1,Nezahualcoyotl,Riesgo Bajo (Advertencia)
19.0,Nezahualcoyotl,Riesgo Bajo (Advertencia)
18.9,Nezahualcoyotl,Riesgo Bajo (Advertencia)
18.8,Nezahualcoyotl,Riesgo Bajo (Advertencia)
18.7,Nezahualcoyotl,Riesgo Bajo (Advertencia)
18.6,Nezahualcoyotl,Riesgo Medio
18.5,Nezahualcoyotl,Riesgo Medio
18.4,Nezahualcoyotl,Riesgo Medio
18.3,Nezahualcoyotl,Riesgo Alto
18.2,Nezahualcoyotl,Riesgo Alto
18.1,Nezahualcoyotl,Riesgo Alto
18.0,Nezahualcoyotl,Zona Inundada
17.9,Nezahualcoyotl,Zona Inundada
17.8,Nezahualcoyotl,Zona Inundada
17.7,Nezahualcoyotl,Zona Inundada
17.6,Nezahualcoyotl,Zona Inundada
17.5,Nezahualcoyotl,Zona Inundada
17.4,Nezahualcoyotl,Zona Inundada
17.3,Nezahualcoyotl,Zona Inundada
17.2,Nezahualcoyotl,Zona Inundada
17.1,Nezahualcoyotl,Zona Inundada
17.0,Nezahualcoyotl,Zona Inundada
